B00, 1
B09, Trade, 229686.900, 203, B09, S04, 1
B09, Trade, 229689.167, 204, B09, S00, 1
B09, Trade, 229702.983, 203, B09, S02, 1
B09, Trade, 229712.950, 202, B09, S04, 1
B09, Trade, 229720.467, 204, B09, S04, 1
B09, Trade, 229726.167, 204, B09, S02, 1
B09, Trade, 229728.217, 203, B09, S06, 1
B09, Trade, 229732.333, 199, S07, B09, 1
B09, Trade, 229746.550, 204, B09, S04, 1
B09, Trade, 229768.683, 203, B09, S03, 1
B09, Trade, 229779.250, 204, B09, S07, 1
B09, Trade, 229787.133, 204, B09, S07, 1
B09, Trade, 229789.400, 202, B09, S02, 1
B09, Trade, 229799.717, 199, B09, S06, 1
B09, Trade, 229812.717, 200, B09, S07, 1
B09, Trade, 229824.300, 204, B09, S07, 1
B09, Trade, 229831.667, 204, B09, S03, 1
B09, Trade, 229837.267, 202, B09, S03, 1
B09, Trade, 229843.250, 204, B09, S04, 1
B09, Trade, 229848.600, 204, B09, S03, 1
B09, Trade, 229854.117, 203, B09, S02, 1
B09, Trade, 229860.100, 204, B09, S07, 1
B09, Trade, 229865.350, 203, B09, S02, 1
B09, Trade, 229885.650, 204, B09, S04, 1
B09, Trade, 229891.683, 203, B09, S08, 1
B09, Trade, 229897.083, 202, B09, S06, 1
B09, Trade, 229905.450, 203, B09, S03, 1
B09, Trade, 229928.417, 201, B09, S02, 1
B09, Trade, 229931.367, 204, B09, S02, 1
B09, Trade, 229942.800, 204, B09, S00, 1
B09, Trade, 229977.717, 204, B09, S06, 1
B09, Trade, 229985.750, 204, B09, S02, 1
B09, Trade, 229989.200, 204, B09, S07, 1
B09, Trade, 230008.200, 200, B09, S07, 1
B09, Trade, 230013.833, 203, B09, S02, 1
B09, Trade, 230025.817, 198, B09, S05, 1
B09, Trade, 230037.250, 204, B09, S02, 1
B09, Trade, 230046.633, 203, B09, S03, 1
B09, Trade, 230050.233, 203, B09, S03, 1
B09, Trade, 230058.983, 203, B09, S03, 1
B09, Trade, 230081.117, 201, B09, S06, 1
B09, Trade, 230082.383, 202, B09, S04, 1
B09, Trade, 230088.500, 203, B09, S06, 1
B09, Trade, 230096.333, 204, B09, S07, 1
B09, Trade, 230104.017, 203, B09, S02, 1
B09, Trade, 230108.133, 204, B09, S02, 1
B09, Trade, 230119.267, 204, B09, S04, 1
B09, Trade, 230133.617, 204, B09, S03, 1
B09, Trade, 230138.750, 204, B09, S00, 1
B09, Trade, 230143.967, 204, B09, S03, 1
B09, Trade, 230151.400, 202, B09, S06, 1
B09, Trade, 230159.317, 204, B09, S04, 1
B09, Trade, 230164.983, 203, B09, S07, 1
B09, Trade, 230179.650, 204, B09, S03, 1
B09, Trade, 230186.633, 202, B09, S02, 1
B09, Trade, 230206.150, 202, B09, S03, 1
